,Time,Chick,Diet,weight
1,0,1,1,42
2,2,1,1,51
3,4,1,1,59
4,6,1,1,64
5,8,1,1,76
6,10,1,1,93
7,12,1,1,106
8,14,1,1,125
9,16,1,1,149
10,18,1,1,171
11,20,1,1,199
12,21,1,1,205
13,0,2,1,40
14,2,2,1,49
15,4,2,1,58
16,6,2,1,72
17,8,2,1,84
18,10,2,1,103
19,12,2,1,122
20,14,2,1,138
21,16,2,1,162
22,18,2,1,187
23,20,2,1,209
24,21,2,1,215
25,0,3,1,43
26,2,3,1,39
27,4,3,1,55
28,6,3,1,67
29,8,3,1,84
30,10,3,1,99
31,12,3,1,115
32,14,3,1,138
33,16,3,1,163
34,18,3,1,187
35,20,3,1,198
36,21,3,1,202
37,0,4,1,42
38,2,4,1,49
39,4,4,1,56
40,6,4,1,67
41,8,4,1,74
42,10,4,1,87
43,12,4,1,102
44,14,4,1,108
45,16,4,1,136
46,18,4,1,154
47,20,4,1,160
48,21,4,1,157
49,0,5,1,41
50,2,5,1,42
51,4,5,1,48
52,6,5,1,60
53,8,5,1,79
54,10,5,1,106
55,12,5,1,141
56,14,5,1,164
57,16,5,1,197
58,18,5,1,199
59,20,5,1,220
60,21,5,1,223
61,0,6,1,41
62,2,6,1,49
63,4,6,1,59
64,6,6,1,74
65,8,6,1,97
66,10,6,1,124
67,12,6,1,141
68,14,6,1,148
69,16,6,1,155
70,18,6,1,160
71,20,6,1,160
72,21,6,1,157
73,0,7,1,41
74,2,7,1,49
75,4,7,1,57
76,6,7,1,71
77,8,7,1,89
78,10,7,1,112
79,12,7,1,146
80,14,7,1,174
81,16,7,1,218
82,18,7,1,250
83,20,7,1,288
84,21,7,1,305
85,0,8,1,42
86,2,8,1,50
87,4,8,1,61
88,6,8,1,71
89,8,8,1,84
90,10,8,1,93
91,12,8,1,110
92,14,8,1,116
93,16,8,1,126
94,18,8,1,134
95,20,8,1,125
96,0,9,1,42
97,2,9,1,51
98,4,9,1,59
99,6,9,1,68
100,8,9,1,85
101,10,9,1,96
102,12,9,1,90
103,14,9,1,92
104,16,9,1,93
105,18,9,1,100
106,20,9,1,100
107,21,9,1,98
108,0,10,1,41
109,2,10,1,44
110,4,10,1,52
111,6,10,1,63
112,8,10,1,74
113,10,10,1,81
114,12,10,1,89
115,14,10,1,96
116,16,10,1,101
117,18,10,1,112
118,20,10,1,120
119,21,10,1,124
120,0,11,1,43
121,2,11,1,51
122,4,11,1,63
123,6,11,1,84
124,8,11,1,112
125,10,11,1,139
126,12,11,1,168
127,14,11,1,177
128,16,11,1,182
129,18,11,1,184
130,20,11,1,181
131,21,11,1,175
132,0,12,1,41
133,2,12,1,49
134,4,12,1,56
135,6,12,1,62
136,8,12,1,72
137,10,12,1,88
138,12,12,1,119
139,14,12,1,135
140,16,12,1,162
141,18,12,1,185
142,20,12,1,195
143,21,12,1,205
144,0,13,1,41
145,2,13,1,48
146,4,13,1,53
147,6,13,1,60
148,8,13,1,65
149,10,13,1,67
150,12,13,1,71
151,14,13,1,70
152,16,13,1,71
153,18,13,1,81
154,20,13,1,91
155,21,13,1,96
156,0,14,1,41
157,2,14,1,49
158,4,14,1,62
159,6,14,1,79
160,8,14,1,101
161,10,14,1,128
162,12,14,1,164
163,14,14,1,192
164,16,14,1,227
165,18,14,1,248
166,20,14,1,259
167,21,14,1,266
168,0,15,1,41
169,2,15,1,49
170,4,15,1,56
171,6,15,1,64
172,8,15,1,68
173,10,15,1,68
174,12,15,1,67
175,14,15,1,68
176,0,16,1,41
177,2,16,1,45
178,4,16,1,49
179,6,16,1,51
180,8,16,1,57
181,10,16,1,51
182,12,16,1,54
183,0,17,1,42
184,2,17,1,51
185,4,17,1,61
186,6,17,1,72
187,8,17,1,83
188,10,17,1,89
189,12,17,1,98
190,14,17,1,103
191,16,17,1,113
192,18,17,1,123
193,20,17,1,133
194,21,17,1,142
195,0,18,1,39
196,2,18,1,35
197,0,19,1,43
198,2,19,1,48
199,4,19,1,55
200,6,19,1,62
201,8,19,1,65
202,10,19,1,71
203,12,19,1,82
204,14,19,1,88
205,16,19,1,106
206,18,19,1,120
207,20,19,1,144
208,21,19,1,157
209,0,20,1,41
210,2,20,1,47
211,4,20,1,54
212,6,20,1,58
213,8,20,1,65
214,10,20,1,73
215,12,20,1,77
216,14,20,1,89
217,16,20,1,98
218,18,20,1,107
219,20,20,1,115
220,21,20,1,117
221,0,21,2,40
222,2,21,2,50
223,4,21,2,62
224,6,21,2,86
225,8,21,2,125
226,10,21,2,163
227,12,21,2,217
228,14,21,2,240
229,16,21,2,275
230,18,21,2,307
231,20,21,2,318
232,21,21,2,331
233,0,22,2,41
234,2,22,2,55
235,4,22,2,64
236,6,22,2,77
237,8,22,2,90
238,10,22,2,95
239,12,22,2,108
240,14,22,2,111
241,16,22,2,131
242,18,22,2,148
243,20,22,2,164
244,21,22,2,167
245,0,23,2,43
246,2,23,2,52
247,4,23,2,61
248,6,23,2,73
249,8,23,2,90
250,10,23,2,103
251,12,23,2,127
252,14,23,2,135
253,16,23,2,145
254,18,23,2,163
255,20,23,2,170
256,21,23,2,175
257,0,24,2,42
258,2,24,2,52
259,4,24,2,58
260,6,24,2,74
261,8,24,2,66
262,10,24,2,68
263,12,24,2,70
264,14,24,2,71
265,16,24,2,72
266,18,24,2,72
267,20,24,2,76
268,21,24,2,74
269,0,25,2,40
270,2,25,2,49
271,4,25,2,62
272,6,25,2,78
273,8,25,2,102
274,10,25,2,124
275,12,25,2,146
276,14,25,2,164
277,16,25,2,197
278,18,25,2,231
279,20,25,2,259
280,21,25,2,265
281,0,26,2,42
282,2,26,2,48
283,4,26,2,57
284,6,26,2,74
285,8,26,2,93
286,10,26,2,114
287,12,26,2,136
288,14,26,2,147
289,16,26,2,169
290,18,26,2,205
291,20,26,2,236
292,21,26,2,251
293,0,27,2,39
294,2,27,2,46
295,4,27,2,58
296,6,27,2,73
297,8,27,2,87
298,10,27,2,100
299,12,27,2,115
300,14,27,2,123
301,16,27,2,144
302,18,27,2,163
303,20,27,2,185
304,21,27,2,192
305,0,28,2,39
306,2,28,2,46
307,4,28,2,58
308,6,28,2,73
309,8,28,2,92
310,10,28,2,114
311,12,28,2,145
312,14,28,2,156
313,16,28,2,184
314,18,28,2,207
315,20,28,2,212
316,21,28,2,233
317,0,29,2,39
318,2,29,2,48
319,4,29,2,59
320,6,29,2,74
321,8,29,2,87
322,10,29,2,106
323,12,29,2,134
324,14,29,2,150
325,16,29,2,187
326,18,29,2,230
327,20,29,2,279
328,21,29,2,309
329,0,30,2,42
330,2,30,2,48
331,4,30,2,59
332,6,30,2,72
333,8,30,2,85
334,10,30,2,98
335,12,30,2,115
336,14,30,2,122
337,16,30,2,143
338,18,30,2,151
339,20,30,2,157
340,21,30,2,150
341,0,31,3,42
342,2,31,3,53
343,4,31,3,62
344,6,31,3,73
345,8,31,3,85
346,10,31,3,102
347,12,31,3,123
348,14,31,3,138
349,16,31,3,170
350,18,31,3,204
351,20,31,3,235
352,21,31,3,256
353,0,32,3,41
354,2,32,3,49
355,4,32,3,65
356,6,32,3,82
357,8,32,3,107
358,10,32,3,129
359,12,32,3,159
360,14,32,3,179
361,16,32,3,221
362,18,32,3,263
363,20,32,3,291
364,21,32,3,305
365,0,33,3,39
366,2,33,3,50
367,4,33,3,63
368,6,33,3,77
369,8,33,3,96
370,10,33,3,111
371,12,33,3,137
372,14,33,3,144
373,16,33,3,151
374,18,33,3,146
375,20,33,3,156
376,21,33,3,147
377,0,34,3,41
378,2,34,3,49
379,4,34,3,63
380,6,34,3,85
381,8,34,3,107
382,10,34,3,134
383,12,34,3,164
384,14,34,3,186
385,16,34,3,235
386,18,34,3,294
387,20,34,3,327
388,21,34,3,341
389,0,35,3,41
390,2,35,3,53
391,4,35,3,64
392,6,35,3,87
393,8,35,3,123
394,10,35,3,158
395,12,35,3,201
396,14,35,3,238
397,16,35,3,287
398,18,35,3,332
399,20,35,3,361
400,21,35,3,373
401,0,36,3,39
402,2,36,3,48
403,4,36,3,61
404,6,36,3,76
405,8,36,3,98
406,10,36,3,116
407,12,36,3,145
408,14,36,3,166
409,16,36,3,198
410,18,36,3,227
411,20,36,3,225
412,21,36,3,220
413,0,37,3,41
414,2,37,3,48
415,4,37,3,56
416,6,37,3,68
417,8,37,3,80
418,10,37,3,83
419,12,37,3,103
420,14,37,3,112
421,16,37,3,135
422,18,37,3,157
423,20,37,3,169
424,21,37,3,178
425,0,38,3,41
426,2,38,3,49
427,4,38,3,61
428,6,38,3,74
429,8,38,3,98
430,10,38,3,109
431,12,38,3,128
432,14,38,3,154
433,16,38,3,192
434,18,38,3,232
435,20,38,3,280
436,21,38,3,290
437,0,39,3,42
438,2,39,3,50
439,4,39,3,61
440,6,39,3,78
441,8,39,3,89
442,10,39,3,109
443,12,39,3,130
444,14,39,3,146
445,16,39,3,170
446,18,39,3,214
447,20,39,3,250
448,21,39,3,272
449,0,40,3,41
450,2,40,3,55
451,4,40,3,66
452,6,40,3,79
453,8,40,3,101
454,10,40,3,120
455,12,40,3,154
456,14,40,3,182
457,16,40,3,215
458,18,40,3,262
459,20,40,3,295
460,21,40,3,321
461,0,41,4,42
462,2,41,4,51
463,4,41,4,66
464,6,41,4,85
465,8,41,4,103
466,10,41,4,124
467,12,41,4,155
468,14,41,4,153
469,16,41,4,175
470,18,41,4,184
471,20,41,4,199
472,21,41,4,204
473,0,42,4,42
474,2,42,4,49
475,4,42,4,63
476,6,42,4,84
477,8,42,4,103
478,10,42,4,126
479,12,42,4,160
480,14,42,4,174
481,16,42,4,204
482,18,42,4,234
483,20,42,4,269
484,21,42,4,281
485,0,43,4,42
486,2,43,4,55
487,4,43,4,69
488,6,43,4,96
489,8,43,4,131
490,10,43,4,157
491,12,43,4,184
492,14,43,4,188
493,16,43,4,197
494,18,43,4,198
495,20,43,4,199
496,21,43,4,200
497,0,44,4,42
498,2,44,4,51
499,4,44,4,65
500,6,44,4,86
501,8,44,4,103
502,10,44,4,118
503,12,44,4,127
504,14,44,4,138
505,16,44,4,145
506,18,44,4,146
507,0,45,4,41
508,2,45,4,50
509,4,45,4,61
510,6,45,4,78
511,8,45,4,98
512,10,45,4,117
513,12,45,4,135
514,14,45,4,141
515,16,45,4,147
516,18,45,4,174
517,20,45,4,197
518,21,45,4,196
519,0,46,4,40
520,2,46,4,52
521,4,46,4,62
522,6,46,4,82
523,8,46,4,101
524,10,46,4,120
525,12,46,4,144
526,14,46,4,156
527,16,46,4,173
528,18,46,4,210
529,20,46,4,231
530,21,46,4,238
531,0,47,4,41
532,2,47,4,53
533,4,47,4,66
534,6,47,4,79
535,8,47,4,100
536,10,47,4,123
537,12,47,4,148
538,14,47,4,157
539,16,47,4,168
540,18,47,4,185
541,20,47,4,210
542,21,47,4,205
543,0,48,4,39
544,2,48,4,50
545,4,48,4,62
546,6,48,4,80
547,8,48,4,104
548,10,48,4,125
549,12,48,4,154
550,14,48,4,170
551,16,48,4,222
552,18,48,4,261
553,20,48,4,303
554,21,48,4,322
555,0,49,4,40
556,2,49,4,53
557,4,49,4,64
558,6,49,4,85
559,8,49,4,108
560,10,49,4,128
561,12,49,4,152
562,14,49,4,166
563,16,49,4,184
564,18,49,4,203
565,20,49,4,233
566,21,49,4,237
567,0,50,4,41
568,2,50,4,54
569,4,50,4,67
570,6,50,4,84
571,8,50,4,105
572,10,50,4,122
573,12,50,4,155
574,14,50,4,175
575,16,50,4,205
576,18,50,4,234
577,20,50,4,264
578,21,50,4,264
